Family,ExpType,Algorithm,n,m,Max_Flow,F,F_bar,r,s_bar,t_bar,Time_ms
BasicLine,Density,Di,5002,10067,12313496,2,5002.00,0.0004,0.0010,3.5349,2.963
BasicLine,Density,EK,5002,10014,12155227,2422,25045014.00,0.0001,0.5002,1.0094,825.447
BasicLine,Density,FF,5002,10014,12155227,3460,12155227.00,0.0003,0.2560,0.5185,1453.782
BasicLine,Density,RDFS,5002,10014,12155227,3723,12155227.00,0.0003,0.0038,0.0063,659.868
BasicLine,Density,FP,5002,10014,12155227,2422,235680.23,0.0103,0.5005,1.0095,4270.860
BasicLine,Density,EC,5002,10014,12155227,2422,235680.23,0.0103,0.5002,1.0094,827.706
BasicLine,Density,Di,5002,10014,12155227,1,5002.00,0.0002,0.0008,4.0904,2.002
BasicLine,Density,EK,5002,10003,12519952,2485,25017503.00,0.0001,0.5002,1.0090,862.871
BasicLine,Density,FF,5002,10003,12519952,3502,12519952.00,0.0003,0.2542,0.5138,1412.253
BasicLine,Density,RDFS,5002,10003,12519952,3785,12519952.00,0.0003,0.0037,0.0061,666.860
BasicLine,Density,FP,5002,10003,12519952,2485,235847.99,0.0105,0.5005,1.0091,4353.375
BasicLine,Density,EC,5002,10003,12519952,2485,235847.99,0.0105,0.5002,1.0090,864.420
BasicLine,Density,Di,5002,10003,12519952,1,5002.00,0.0002,0.0008,4.1145,1.976
BasicLine,Density,EK,5002,10109,12529519,2529,25282609.00,0.0001,0.5002,1.0040,869.630
BasicLine,Density,FF,5002,10109,12529519,3540,12529519.00,0.0003,0.2554,0.5112,1490.742
BasicLine,Density,RDFS,5002,10109,12529519,3866,12529519.00,0.0003,0.0035,0.0058,690.015
BasicLine,Density,FP,5002,10109,12529519,2529,238358.37,0.0106,0.5005,1.0041,4448.157
BasicLine,Density,EC,5002,10109,12529519,2529,238358.37,0.0106,0.5002,1.0040,882.111
BasicLine,Density,Di,5002,10109,12529519,1,5002.00,0.0002,0.0008,4.1279,1.927
BasicLine,Density,EK,5002,10007,12083885,2436,25027507.00,0.0001,0.5002,1.0019,834.373
BasicLine,Density,FF,5002,10007,12083885,3510,12083885.00,0.0003,0.2620,0.5220,1429.838
BasicLine,Density,RDFS,5002,10007,12083885,3689,12083885.00,0.0003,0.0034,0.0056,656.722
BasicLine,Density,FP,5002,10007,12083885,2436,235430.50,0.0103,0.5005,1.0021,4259.662
BasicLine,Density,EC,5002,10007,12083885,2436,235430.50,0.0103,0.5002,1.0019,837.562
BasicLine,Density,Di,5002,10007,12083885,1,5002.00,0.0002,0.0008,4.0997,2.041
BasicLine,Scaling,EK,1002,2020,2410324,474,1012020.00,0.0005,0.5010,1.0119,27.670
BasicLine,Scaling,FF,1002,2020,2410324,694,2410324.00,0.0003,0.2512,0.5071,56.286
BasicLine,Scaling,RDFS,1002,2020,2410324,747,2410324.00,0.0003,0.0161,0.0265,34.189
BasicLine,Scaling,FP,1002,2020,2410324,474,42825.61,0.0111,0.5023,1.0124,138.845
BasicLine,Scaling,EC,1002,2020,2410324,474,42825.61,0.0111,0.5010,1.0119,27.791
BasicLine,Scaling,Di,1002,2020,2410324,1,1002.00,0.0010,0.0042,4.0881,0.372
BasicLine,Scaling,EK,2002,3989,4856178,988,3992989.00,0.0002,0.5005,1.0093,124.073
BasicLine,Scaling,FF,2002,3989,4856178,1365,4856178.00,0.0003,0.2556,0.5160,226.454
BasicLine,Scaling,RDFS,2002,3989,4856178,1467,4856178.00,0.0003,0.0077,0.0126,113.243
BasicLine,Scaling,FP,2002,3989,4856178,988,88601.23,0.0112,0.5011,1.0096,620.064
BasicLine,Scaling,EC,2002,3989,4856178,988,88601.23,0.0112,0.5005,1.0093,124.399
BasicLine,Scaling,Di,2002,3989,4856178,1,2002.00,0.0005,0.0021,4.1038,0.766
BasicLine,Scaling,EK,5002,10003,12519952,2485,25017503.00,0.0001,0.5002,1.0090,855.600
BasicLine,Scaling,FF,5002,10003,12519952,3502,12519952.00,0.0003,0.2542,0.5138,1412.520
BasicLine,Scaling,RDFS,5002,10003,12519952,3786,12519952.00,0.0003,0.0037,0.0062,658.921
BasicLine,Scaling,FP,5002,10003,12519952,2485,235847.99,0.0105,0.5005,1.0091,4350.085
BasicLine,Scaling,EC,5002,10003,12519952,2485,235847.99,0.0105,0.5002,1.0090,859.339
BasicLine,Scaling,Di,5002,10003,12519952,1,5002.00,0.0002,0.0008,4.1145,2.058
BasicLine,Scaling,EK,10002,19904,24355876,4903,99539904.00,0.0000,0.5001,1.0030,3557.945
BasicLine,Scaling,FF,10002,19904,24355876,6973,24355876.00,0.0003,0.2576,0.5156,5649.424
BasicLine,Scaling,RDFS,10002,19904,24355876,7273,24355876.00,0.0003,0.0018,0.0031,2512.494
BasicLine,Scaling,FP,10002,19904,24355876,4903,488399.71,0.0100,0.5002,1.0031,18359.609
BasicLine,Scaling,EC,10002,19904,24355876,4903,488399.71,0.0100,0.5001,1.0030,3583.668
BasicLine,Scaling,Di,10002,19904,24355876,1,10002.00,0.0001,0.0004,4.1118,3.977
BasicLine,Scaling,EK,20002,40105,50204624,10124,401090105.00,0.0000,0.5000,0.9967,15274.062
BasicLine,Scaling,FF,20002,40105,50204624,14285,50204624.00,0.0003,0.2596,0.5165,23560.820
BasicLine,Scaling,RDFS,20002,40105,50204624,14916,50204624.00,0.0003,0.0011,0.0019,10353.797
BasicLine,Scaling,FP,20002,40105,50204624,10124,1025938.71,0.0099,0.5001,0.9968,81648.268
BasicLine,Scaling,EC,20002,40105,50204624,10124,1025938.71,0.0099,0.5000,0.9967,15448.173
BasicLine,Scaling,Di,20002,40105,50204624,1,20002.00,0.0000,0.0002,4.1287,8.287
