n,m,I,D,U,Algo_Time_ms
262144,1048576,262143,262143,86054,196.176
262144,1048576,262143,262143,85901,204.526
262144,1048576,262143,262143,85188,196.039
262144,1048576,262143,262143,85674,209.019
524288,1048576,524288,524288,36335,256.159
524288,1048576,524288,524288,36468,268.273
524288,1048576,524288,524288,36530,256.342
524288,1048576,524288,524288,36184,272.444
524288,1048576,524288,524288,36474,254.797
524288,1048576,524288,524288,36593,274.593
524288,1048576,524288,524288,36163,264.116
524288,1048576,524288,524288,36406,255.04
524288,1048576,524288,524288,36505,259.171
524288,1048576,524288,524288,36311,267.636
524288,1048576,524288,524288,36425,261.274
524288,1048576,524288,524288,36347,258.501
524288,1048576,524288,524288,36313,255.481
524288,1048576,524288,524288,36037,254.892
524288,1048576,524288,524288,36677,255.135
524288,1048576,524288,524288,36405,256.211
524288,1048576,524288,524288,36567,255.063
524288,1048576,524288,524288,36463,255.616
524288,1048576,524288,524288,36167,256.22
524288,1048576,524288,524288,36371,263.294
524288,1048576,524288,524288,36484,270.283
524288,1048576,524288,524288,36473,272.177
524288,1048576,524288,524288,36309,256.822
524288,1048576,524288,524288,36205,272.367
524288,1048576,524288,524288,36333,255.016
524288,1048576,524288,524288,36469,255.904
524288,1048576,524288,524288,36446,254.749
524288,1048576,524288,524288,36104,256.355
524288,1048576,524288,524288,36815,257.608
524288,1048576,524288,524288,36094,255.552
1048576,1048576,561859,561859,0,16.0489
1048576,1048576,281388,281388,0,10.0717
1048576,1048576,791582,791582,0,20.46
1048576,1048576,1010425,1010425,0,25.0574
1048576,1048576,909133,909133,0,23.0853
1048576,1048576,765822,765822,0,19.969
1048576,1048576,203363,203363,0,8.421
1048576,1048576,494230,494230,0,14.3852
1048576,1048576,388466,388466,0,12.1308
1048576,1048576,720388,720388,0,18.8849
1048576,1048576,240460,240460,0,9.1422
1048576,1048576,815618,815618,0,20.9646
1048576,1048576,294871,294871,0,10.0057
1048576,1048576,460246,460246,0,13.7886
1048576,1048576,614730,614730,0,17.2623
1048576,1048576,819989,819989,0,20.9643
1048576,1048576,600479,600479,0,16.6081
1048576,1048576,660602,660602,0,17.8021
1048576,1048576,914043,914043,0,23.141
1048576,1048576,564612,564612,0,16.1805
1048576,1048576,119541,119541,0,6.09021
1048576,1048576,106497,106497,0,6.5881
1048576,1048576,551932,551932,0,16.5033
1048576,1048576,765064,765064,0,19.7615
1048576,1048576,481128,481128,0,14.0578
1048576,1048576,236467,236467,0,9.08123
1048576,1048576,346140,346140,0,10.9585
1048576,1048576,551932,551932,0,15.5361
1048576,1048576,833564,833564,0,21.28
1048576,1048576,234200,234200,0,9.0896
