k,n,m,alpha,sift_up,sift_down,r_up,r_down,insert,deletemin,update,i,d,u,noshita_expected,Algo_Time_ms
4,100000,1000000,1.200,79727,1486655,0.049,0.915,100000,100000,95649,1.000,1.000,0.096,230258.509,166.279
5,100000,1000000,1.200,62301,1293528,0.044,0.922,100000,100000,96114,1.000,1.000,0.096,230258.509,167.15
8,100000,1000000,1.200,39256,1032794,0.036,0.952,100000,100000,95976,1.000,1.000,0.096,230258.509,167.064
16,100000,1000000,1.200,21347,794343,0.026,0.973,100000,100000,96521,1.000,1.000,0.097,230258.509,168.392
2,100000,1000000,1.200,207956,2835204,0.064,0.871,100000,100000,95974,1.000,1.000,0.096,230258.509,161.795
3,100000,1000000,1.200,112472,1848321,0.055,0.901,100000,100000,95773,1.000,1.000,0.096,230258.509,168.701
4,100000,1000000,1.200,78911,1487850,0.049,0.915,100000,100000,95750,1.000,1.000,0.096,230258.509,169.313
5,100000,1000000,1.200,62011,1292294,0.044,0.922,100000,100000,95907,1.000,1.000,0.096,230258.509,168.407
8,100000,1000000,1.200,39411,1033863,0.036,0.951,100000,100000,96259,1.000,1.000,0.096,230258.509,168.135
16,100000,1000000,1.200,21127,793192,0.026,0.973,100000,100000,96221,1.000,1.000,0.096,230258.509,169.818
2,100000,1000000,1.200,209432,2834176,0.064,0.871,100000,100000,95922,1.000,1.000,0.096,230258.509,156.892
3,100000,1000000,1.200,112837,1848347,0.055,0.901,100000,100000,95787,1.000,1.000,0.096,230258.509,168.355
4,100000,1000000,1.200,79249,1489783,0.049,0.915,100000,100000,95999,1.000,1.000,0.096,230258.509,149.929
5,100000,1000000,1.200,62217,1289403,0.044,0.922,100000,100000,95534,1.000,1.000,0.096,230258.509,166.984
8,100000,1000000,1.200,38921,1031697,0.036,0.951,100000,100000,95918,1.000,1.000,0.096,230258.509,167.374
16,100000,1000000,1.200,21080,791351,0.026,0.973,100000,100000,95930,1.000,1.000,0.096,230258.509,168.88
2,100000,1000000,1.200,208693,2832251,0.064,0.871,100000,100000,95778,1.000,1.000,0.096,230258.509,163.059
3,100000,1000000,1.200,112933,1849433,0.055,0.901,100000,100000,95891,1.000,1.000,0.096,230258.509,163.896
4,100000,1000000,1.200,79582,1488356,0.049,0.915,100000,100000,95878,1.000,1.000,0.096,230258.509,167.05
5,100000,1000000,1.200,62336,1292551,0.044,0.922,100000,100000,95950,1.000,1.000,0.096,230258.509,167.843
8,100000,1000000,1.200,39211,1031162,0.036,0.951,100000,100000,95877,1.000,1.000,0.096,230258.509,166.514
16,100000,1000000,1.200,21491,793196,0.026,0.973,100000,100000,96311,1.000,1.000,0.096,230258.509,168.685
2,100000,3000000,1.295,381053,4380424,0.080,0.914,100000,100000,188500,1.000,1.000,0.063,340119.738,477.763
3,100000,3000000,1.295,203608,2834941,0.067,0.936,100000,100000,189094,1.000,1.000,0.063,340119.738,477.207
4,100000,3000000,1.295,144429,2278260,0.060,0.953,100000,100000,187936,1.000,1.000,0.063,340119.738,427.446
5,100000,3000000,1.295,114028,1994869,0.055,0.967,100000,100000,188363,1.000,1.000,0.063,340119.738,419.38
8,100000,3000000,1.295,71652,1553131,0.045,0.974,100000,100000,188062,1.000,1.000,0.063,340119.738,425.037
16,100000,3000000,1.295,39224,1229163,0.033,1.025,100000,100000,188782,1.000,1.000,0.063,340119.738,486.1
2,100000,3000000,1.295,377965,4367262,0.079,0.914,100000,100000,187678,1.000,1.000,0.063,340119.738,484.88
3,100000,3000000,1.295,202981,2823002,0.067,0.935,100000,100000,188067,1.000,1.000,0.063,340119.738,423.988
4,100000,3000000,1.295,144756,2280229,0.060,0.953,100000,100000,188141,1.000,1.000,0.063,340119.738,477.184
5,100000,3000000,1.295,113640,1995614,0.055,0.967,100000,100000,188567,1.000,1.000,0.063,340119.738,429.717
8,100000,3000000,1.295,71386,1551759,0.045,0.974,100000,100000,187804,1.000,1.000,0.063,340119.738,422.403
16,100000,3000000,1.295,39056,1230338,0.033,1.026,100000,100000,188833,1.000,1.000,0.063,340119.738,451.38
2,100000,3000000,1.295,378034,4366142,0.079,0.914,100000,100000,187641,1.000,1.000,0.063,340119.738,431.61
3,100000,3000000,1.295,202980,2826425,0.067,0.935,100000,100000,188357,1.000,1.000,0.063,340119.738,420.963
4,100000,3000000,1.295,144098,2282944,0.060,0.953,100000,100000,188531,1.000,1.000,0.063,340119.738,420.088
5,100000,3000000,1.295,114850,1996320,0.056,0.967,100000,100000,188604,1.000,1.000,0.063,340119.738,482.617
8,100000,3000000,1.295,71582,1555152,0.045,0.974,100000,100000,188445,1.000,1.000,0.063,340119.738,419.451
16,100000,3000000,1.295,38975,1226449,0.033,1.025,100000,100000,188097,1.000,1.000,0.063,340119.738,434.232
2,100000,3000000,1.295,381190,4385736,0.079,0.914,100000,100000,188762,1.000,1.000,0.063,340119.738,430.075
3,100000,3000000,1.295,203462,2826356,0.067,0.935,100000,100000,188350,1.000,1.000,0.063,340119.738,421.929
4,100000,3000000,1.295,144413,2281046,0.060,0.953,100000,100000,188230,1.000,1.000,0.063,340119.738,474.591
5,100000,3000000,1.295,114560,1998028,0.055,0.967,100000,100000,188916,1.000,1.000,0.063,340119.738,478.436
8,100000,3000000,1.295,71622,1554128,0.045,0.974,100000,100000,188144,1.000,1.000,0.063,340119.738,424.507
16,100000,3000000,1.295,38932,1228768,0.032,1.025,100000,100000,188655,1.000,1.000,0.063,340119.738,477.978
2,100000,3000000,1.295,379271,4372403,0.079,0.914,100000,100000,187998,1.000,1.000,0.063,340119.738,429.62
3,100000,3000000,1.295,203344,2823348,0.067,0.935,100000,100000,188041,1.000,1.000,0.063,340119.738,471.564
4,100000,3000000,1.295,145496,2284571,0.061,0.953,100000,100000,188665,1.000,1.000,0.063,340119.738,418.739
5,100000,3000000,1.295,112955,1989964,0.055,0.966,100000,100000,187838,1.000,1.000,0.063,340119.738,477.291
8,100000,3000000,1.295,71479,1552124,0.045,0.973,100000,100000,188026,1.000,1.000,0.063,340119.738,417.716
16,100000,3000000,1.295,38797,1224879,0.032,1.025,100000,100000,187826,1.000,1.000,0.063,340119.738,422.534
2,100000,3000000,1.295,380404,4383358,0.079,0.914,100000,100000,188607,1.000,1.000,0.063,340119.738,484.249
3,100000,3000000,1.295,203655,2826520,0.067,0.935,100000,100000,188366,1.000,1.000,0.063,340119.738,461.947
4,100000,3000000,1.295,143954,2279654,0.060,0.953,100000,100000,188006,1.000,1.000,0.063,340119.738,422.064
5,100000,3000000,1.295,113277,1993027,0.055,0.967,100000,100000,188130,1.000,1.000,0.063,340119.738,418.233
8,100000,3000000,1.295,72005,1558025,0.045,0.974,100000,100000,188869,1.000,1.000,0.063,340119.738,421.431
16,100000,3000000,1.295,38794,1225257,0.032,1.025,100000,100000,187909,1.000,1.000,0.063,340119.738,458.271
2,100000,3000000,1.295,381349,4382716,0.080,0.915,100000,100000,188530,1.000,1.000,0.063,340119.738,426.952
3,100000,3000000,1.295,203524,2823297,0.067,0.935,100000,100000,188078,1.000,1.000,0.063,340119.738,426.06
4,100000,3000000,1.295,144280,2282821,0.060,0.953,100000,100000,188458,1.000,1.000,0.063,340119.738,435.765
5,100000,3000000,1.295,112997,1988518,0.055,0.966,100000,100000,187685,1.000,1.000,0.063,340119.738,475.353
8,100000,3000000,1.295,70966,1548652,0.045,0.973,100000,100000,187364,1.000,1.000,0.062,340119.738,419.639
16,100000,3000000,1.295,38881,1225164,0.033,1.025,100000,100000,187831,1.000,1.000,0.063,340119.738,422.804
2,100000,3000000,1.295,380488,4380595,0.079,0.914,100000,100000,188495,1.000,1.000,0.063,340119.738,482.465
3,100000,3000000,1.295,205587,2832089,0.068,0.936,100000,100000,188806,1.000,1.000,0.063,340119.738,421.929
4,100000,3000000,1.295,143829,2279811,0.060,0.953,100000,100000,188000,1.000,1.000,0.063,340119.738,475.162
5,100000,3000000,1.295,114054,1995004,0.055,0.967,100000,100000,188397,1.000,1.000,0.063,340119.738,420.251
8,100000,3000000,1.295,71573,1556437,0.045,0.974,100000,100000,188633,1.000,1.000,0.063,340119.738,474.805
16,100000,3000000,1.295,38743,1227127,0.032,1.025,100000,100000,188211,1.000,1.000,0.063,340119.738,424.685
2,100000,3000000,1.295,380665,4382898,0.079,0.914,100000,100000,188590,1.000,1.000,0.063,340119.738,485.328
3,100000,3000000,1.295,202688,2824149,0.067,0.936,100000,100000,188072,1.000,1.000,0.063,340119.738,459.122
4,100000,3000000,1.295,143376,2279290,0.060,0.953,100000,100000,187910,1.000,1.000,0.063,340119.738,477.116
5,100000,3000000,1.295,114153,1999693,0.055,0.967,100000,100000,189057,1.000,1.000,0.063,340119.738,419.795
8,100000,3000000,1.295,71299,1551289,0.045,0.974,100000,100000,187641,1.000,1.000,0.063,340119.738,417.293
16,100000,3000000,1.295,38701,1225732,0.032,1.025,100000,100000,187948,1.000,1.000,0.063,340119.738,447.148
2,100000,3000000,1.295,378886,4372277,0.079,0.914,100000,100000,188009,1.000,1.000,0.063,340119.738,483.241
3,100000,3000000,1.295,203257,2822488,0.067,0.935,100000,100000,187969,1.000,1.000,0.063,340119.738,422.041
4,100000,3000000,1.295,144526,2283206,0.060,0.953,100000,100000,188587,1.000,1.000,0.063,340119.738,475.031
5,100000,3000000,1.295,113526,1996283,0.055,0.967,100000,100000,188606,1.000,1.000,0.063,340119.738,489.141
8,100000,3000000,1.295,71673,1555855,0.045,0.974,100000,100000,188497,1.000,1.000,0.063,340119.738,473.894
16,100000,3000000,1.295,38645,1223623,0.032,1.025,100000,100000,187552,1.000,1.000,0.063,340119.738,425.871
2,250000,500000,1.056,121355,3620742,0.025,0.755,250000,250000,17506,1.000,1.000,0.035,173286.795,123.337
3,250000,500000,1.056,59474,2373888,0.020,0.784,250000,250000,17547,1.000,1.000,0.035,173286.795,111.361
4,250000,500000,1.056,42531,1918341,0.018,0.800,250000,250000,17332,1.000,1.000,0.035,173286.795,113.068
5,250000,500000,1.056,33409,1677302,0.016,0.812,250000,250000,17368,1.000,1.000,0.035,173286.795,110.483
8,250000,500000,1.056,20700,1314242,0.013,0.823,250000,250000,17318,1.000,1.000,0.035,173286.795,109.076
16,250000,500000,1.056,10642,1015274,0.009,0.847,250000,250000,17482,1.000,1.000,0.035,173286.795,112.487
2,250000,500000,1.056,121342,3616760,0.025,0.754,250000,250000,17448,1.000,1.000,0.035,173286.795,122.541
3,250000,500000,1.056,59786,2371291,0.020,0.784,250000,250000,17425,1.000,1.000,0.035,173286.795,112.481
4,250000,500000,1.056,42104,1918585,0.018,0.800,250000,250000,17375,1.000,1.000,0.035,173286.795,112.244
5,250000,500000,1.056,33124,1675157,0.016,0.812,250000,250000,17178,1.000,1.000,0.034,173286.795,109.291
8,250000,500000,1.056,20485,1315616,0.013,0.823,250000,250000,17365,1.000,1.000,0.035,173286.795,109.474
16,250000,500000,1.056,10698,1014336,0.009,0.846,250000,250000,17312,1.000,1.000,0.035,173286.795,111.324
2,250000,500000,1.056,121721,3617872,0.025,0.755,250000,250000,17384,1.000,1.000,0.035,173286.795,119.022
3,250000,500000,1.056,59518,2369937,0.020,0.784,250000,250000,17191,1.000,1.000,0.034,173286.795,112.039
4,250000,500000,1.056,42300,1917196,0.018,0.800,250000,250000,17196,1.000,1.000,0.034,173286.795,112.849
5,250000,500000,1.056,32923,1674842,0.016,0.812,250000,250000,17200,1.000,1.000,0.034,173286.795,109.44
8,250000,500000,1.056,20624,1314896,0.013,0.823,250000,250000,17288,1.000,1.000,0.035,173286.795,109.272
16,250000,500000,1.056,10495,1014722,0.009,0.847,250000,250000,17337,1.000,1.000,0.035,173286.795,109.708
2,250000,500000,1.056,120475,3621593,0.025,0.755,249999,249999,17526,1.000,1.000,0.035,173286.795,117.535
3,250000,500000,1.056,60051,2370812,0.020,0.784,249999,249999,17361,1.000,1.000,0.035,173286.795,112.134
4,250000,500000,1.056,42647,1919614,0.018,0.800,249999,249999,17485,1.000,1.000,0.035,173286.795,112.101
5,250000,500000,1.056,33424,1676756,0.016,0.812,249999,249999,17401,1.000,1.000,0.035,173286.795,109.454
8,250000,500000,1.056,20735,1315866,0.013,0.823,249999,249999,17373,1.000,1.000,0.035,173286.795,110.059
16,250000,500000,1.056,10614,1015161,0.009,0.847,249999,249999,17406,1.000,1.000,0.035,173286.795,110.902
2,250000,500000,1.056,121671,3617426,0.025,0.754,249999,249999,17415,1.000,1.000,0.035,173286.795,118.044
3,250000,500000,1.056,60004,2373170,0.020,0.784,249999,249999,17523,1.000,1.000,0.035,173286.795,111.754
4,250000,500000,1.056,42303,1916156,0.018,0.800,249999,249999,17207,1.000,1.000,0.034,173286.795,111.08
5,250000,500000,1.056,32940,1675796,0.016,0.811,249999,249999,17407,1.000,1.000,0.035,173286.795,110.453
8,250000,500000,1.056,20517,1315614,0.013,0.823,249999,249999,17504,1.000,1.000,0.035,173286.795,117.205
16,250000,500000,1.056,10654,1015093,0.009,0.847,249999,249999,17432,1.000,1.000,0.035,173286.795,118.573
2,250000,500000,1.056,120972,3618098,0.025,0.755,250000,250000,17406,1.000,1.000,0.035,173286.795,116.907
3,250000,500000,1.056,59864,2371821,0.020,0.784,250000,250000,17446,1.000,1.000,0.035,173286.795,111.619
