Vertices,Source,Dest,IO_Time,Algo_Time,I,D,U,Sift_Up,Sift_Down
100000,83786,-1,1417.17,475.353,100000,100000,187685,112997,1988518
100000,93162,-1,1412.78,419.639,100000,100000,187364,70966,1548652
100000,60025,-1,1411.39,422.804,100000,100000,187831,38881,1225164
100000,9179,-1,1430.29,482.465,100000,100000,188495,380488,4380595
100000,37157,-1,1420.56,421.929,100000,100000,188806,205587,2832089
100000,63752,-1,1424.86,475.162,100000,100000,188000,143829,2279811
100000,41031,-1,1418.5,420.251,100000,100000,188397,114054,1995004
100000,50046,-1,1414.62,474.805,100000,100000,188633,71573,1556437
100000,88244,-1,1408.07,424.685,100000,100000,188211,38743,1227127
100000,81162,-1,1429.36,485.328,100000,100000,188590,380665,4382898
100000,31127,-1,1418.52,459.122,100000,100000,188072,202688,2824149
100000,32828,-1,1423.94,477.116,100000,100000,187910,143376,2279290
100000,95131,-1,1412.61,419.795,100000,100000,189057,114153,1999693
100000,61313,-1,1419.65,417.293,100000,100000,187641,71299,1551289
100000,73591,-1,1424.78,447.148,100000,100000,187948,38701,1225732
100000,41728,-1,1437.84,483.241,100000,100000,188009,378886,4372277
100000,70334,-1,1427.93,422.041,100000,100000,187969,203257,2822488
100000,8380,-1,1414.56,475.031,100000,100000,188587,144526,2283206
100000,86292,-1,1418.73,489.141,100000,100000,188606,113526,1996283
100000,88275,-1,1418.29,473.894,100000,100000,188497,71673,1555855
100000,98313,-1,1426.06,425.871,100000,100000,187552,38645,1223623
250000,69821,-1,257.452,123.337,250000,250000,17506,121355,3620742
250000,8291,-1,262.778,111.361,250000,250000,17547,59474,2373888
250000,18309,-1,254.957,113.068,250000,250000,17332,42531,1918341
250000,112623,-1,258.662,110.483,250000,250000,17368,33409,1677302
250000,35387,-1,269.724,109.076,250000,250000,17318,20700,1314242
250000,125310,-1,258.565,112.487,250000,250000,17482,10642,1015274
250000,44410,-1,258.475,122.541,250000,250000,17448,121342,3616760
250000,181011,-1,262.627,112.481,250000,250000,17425,59786,2371291
250000,217145,-1,265.909,112.244,250000,250000,17375,42104,1918585
250000,104724,-1,262.523,109.291,250000,250000,17178,33124,1675157
250000,158637,-1,254.866,109.474,250000,250000,17365,20485,1315616
250000,13957,-1,253.757,111.324,250000,250000,17312,10698,1014336
250000,37428,-1,277.995,119.022,250000,250000,17384,121721,3617872
250000,141585,-1,257.166,112.039,250000,250000,17191,59518,2369937
250000,152954,-1,266.051,112.849,250000,250000,17196,42300,1917196
250000,8068,-1,272.283,109.44,250000,250000,17200,32923,1674842
250000,222085,-1,253.874,109.272,250000,250000,17288,20624,1314896
